,year,month,day,is_holiday
0,2016,10,31,1
1,2016,11,24,1
2,2016,12,26,1
3,2016,12,30,1
4,2017,1,2,1
5,2017,1,16,1
6,2017,2,5,1
7,2017,2,20,1
8,2017,3,17,1
9,2017,4,14,1
10,2017,4,16,1
11,2017,5,29,1
12,2017,7,4,1
13,2017,9,4,1
14,2017,10,31,1
15,2017,11,23,1
16,2017,12,25,1
17,2018,1,1,1
18,2018,1,1,1
19,2018,1,15,1
20,2018,2,4,1
21,2018,2,19,1
22,2018,3,17,1
23,2018,3,30,1
24,2018,4,1,1
25,2018,5,28,1
26,2018,7,4,1
27,2018,9,3,1
28,2018,10,31,1
29,2018,11,22,1
30,2018,12,25,1
31,2018,12,31,1
32,2019,1,1,1
33,2019,1,21,1
34,2019,2,3,1
35,2019,2,18,1
36,2019,3,17,1
37,2019,4,19,1
38,2019,4,21,1
39,2019,5,27,1
40,2019,7,4,1
41,2019,9,2,1
42,2019,10,31,1
