,latitude,longitude,calldescription
1651647,42.3510000907148,-83.1912917899503,MALICIOUS DESTRUCTION RPT
1528633,42.3466040751905,-83.2138247523099,MALICIOUS DESTRUCTION I/P
262933,42.4492219002683,-82.9537496851921,BURGLARY OCCUPIED RESD I/P
1635380,42.4224770339121,-83.11801983860529,MENTAL NOT VIOLENT
491542,42.437357497501395,-83.2131837990638,TRAFFIC STOP
1545165,42.3636176463782,-83.0910310708676,TOWING DETAIL
323113,42.4112415549634,-82.9513068586412,BREAKING & ENTERING AUTO RPT
91005,42.3499381390824,-83.07748785322829,ASSIST CITIZEN
429373,42.344832673461205,-83.1061623527925,SPECIAL ATTENTION
1848302,42.3586279395893,-83.1738057231776,UNKNOWN PROBLEM
529914,42.371181603306106,-83.14445209064779,SUICIDE I/P
2141332,42.3884340463835,-83.2488819337088,DISTURBANCE
2045079,42.3952855211406,-83.15523408730171,DISTURBANCE
1158955,42.344745205213,-83.11106416653051,WELL BEING CHECK
1689183,42.3497976977328,-83.0683988164355,NOISE COMPLAINT
904431,42.3728916283594,-83.1853246179455,PARKING COMPLAINT
1351442,42.291816843860296,-83.14112435596141,ANIMAL COMPLAINT
662763,42.3003668801043,-83.1115602131719,SPECIAL ATTENTION
502248,42.3636176463782,-83.0910310708676,TRAFFIC STOP
2255256,42.3578815097585,-83.0732736528816,BUILDING CHECK
570125,42.323337221194,-83.0880402872518,TRAFFIC STOP
557637,42.356637721759704,-83.1542781272658,BURGLARY OCCUPIED RESD I/P
837826,42.3340056838677,-83.04200000369,TRAFFIC STOP
2206089,42.3583307004263,-83.188386660782,INVESTIGATE PERSON
953375,42.3665273199861,-83.142258249842,ONE DOWN OR OVER THE WHEEL
688276,42.397992838693106,-83.0097156022972,DISTURBANCE
745785,42.369245577896,-83.0763702890504,TRAFFIC STOP
245733,42.3078610832691,-83.136043876751,ASSAULT AND BATTERY
532547,42.435924029687705,-83.0286008922281,SHOTS FIRED IP
41391,42.3003668801043,-83.1115602131719,SPECIAL ATTENTION / DETAIL
171638,42.446489808935205,-82.9561245788416,MISSING REPORT
642777,42.3003668801043,-83.1115602131719,TOWING DETAIL
1674316,42.3287497864181,-83.0934363753687,TRAFFIC STOP
2270504,42.3544561916844,-83.0476120573537,FRAUD REPORT
1920600,42.420897622905,-83.001372256306,FOUND PERSON
2100430,42.3003668801043,-83.1115602131719,TRAFFIC STOP
2180642,42.3876700358775,-83.1101023497865,FELONIOUS ASSAULT IP
2238521,42.444445866695,-82.9689482784221,VERIFIED ALR / PERSON W/O CODE
1254015,42.2764187942354,-83.15547854738459,SPECIAL ATTENTION
1451929,42.3779884532104,-83.0784900731011,SPECIAL ATTENTION
2310488,42.434236497219295,-83.106290924743,DEAD PERSON OBSERVED
2297009,42.414620651560995,-83.2623472401472,TRAFFIC STOP
579545,42.31782668709911,-83.1018366438995,ASSAULT AND BATTERY
528848,42.3436513034413,-83.0767848737506,DISTURBANCE
135161,42.410244284105204,-83.1239918128702,BURGLARY OCCUPANT AWAY I/P
498031,42.3537154905073,-83.0622632132158,SPECIAL ATTENTION
548258,42.4357823389541,-83.20292709030379,ASSAULT AND BATTERY
1628159,42.346188858944394,-83.0610660618371,INVESTIGATE PERSON
714366,42.369810104489005,-83.0748872401539,AUTO X HIT& RUN UNK INJURIES
1014032,42.3540630073136,-83.0731002412293,TRAFFIC STOP
408194,42.4007158744277,-83.1331695449548,BURGLARY OTHER
2063360,42.336276141134,-83.2095116239992,HANGUP CALLS
670707,42.4145250095675,-83.1602202911194,FELONIOUS ASSAULT IP
377805,42.420071057411796,-83.182352757929,UNKNOWN PROBLEM
1101290,42.339517394373104,-83.2339766027685,PERSON WITH WEAPON
264219,42.3745073080888,-82.9887774587874,SPECIAL ATTENTION
2377270,42.309886590558,-83.1376952528575,TRAFFIC STOP
443690,42.359201211984704,-83.05871907684279,SPECIAL ATTENTION
1662653,42.3448937240491,-83.0629772680331,SPECIAL ATTENTION
1059014,42.358846259213294,-83.1596274564746,LARCENY REPORT
297429,42.41385917601821,-82.9257677693582,INVESTIGATE PERSON
1338081,42.3071248197653,-83.1273936566167,ASSIST CITIZEN
2150462,42.3609167891012,-83.1726822150195,TRAFFIC STOP
46108,42.407518684529705,-83.1201626781568,ASSAULT AND BATTERY
693931,42.377530028136896,-83.01893017592991,SHOTS FIRED IP
70431,42.4280592756401,-83.138531832805,TRAFFIC STOP
2416189,42.4297250373928,-83.1468863859354,BREAKING AND ENTERING AUTO I/P
183311,42.401137502424,-83.2179029204433,AUTO X UNK INJ / IMPAIRED
1462597,42.416598675300996,-83.1798105729848,SPECIAL ATTENTION
377510,42.4347829644582,-82.9557567861072,DISTURBANCE
1402184,42.383153526841895,-82.9662653524302,SPECIAL ATTENTION
943653,42.35137675958529,-83.0474064026933,INVESTIGATE PERSON
947490,42.4273723115561,-82.9982444616296,INVESTIGATE PERSON
391959,42.3949042045383,-83.1755605560451,ASSAULT AND BATTERY
301939,42.3458536437217,-83.21051709184059,TRAFFIC STOP
2108335,42.3913607584304,-82.9702379696241,TRAFFIC STOP
998517,42.4406661318375,-83.05719527566441,SPECIAL ATTENTION
2252343,42.2675763250965,-83.1539177598098,DISTURBANCE
1073371,42.3394833516969,-83.0665053158782,MALICIOUS DESTRUCTION RPT
1621637,42.4396624602106,-83.0982721866023,SPECIAL ATTENTION
1354152,42.411686057343296,-82.9258291889579,UNKNOWN PROBLEM
732942,42.3705975480745,-83.08142772663331,MALICIOUS DESTRUCTION RPT
321170,42.3515777860365,-83.06413939244442,SAFEWALK
1102927,42.381180676125105,-83.1394252986902,AUTO X OR PED X - INJURIES
2151970,42.3579132514249,-83.21404198523841,TRAFFIC STOP
201253,42.3844665437098,-82.9684038443349,DISTURBANCE
1989941,42.3472736432469,-83.13967313194891,DEAD PERSON OBSERVED
1055936,42.3349143232761,-83.0425772035438,TOWING DETAIL
455976,42.3387747798759,-83.1276503152551,TRAFFIC STOP
220944,42.3942809589156,-83.19842608068609,TOWING DETAIL
2114749,42.363188057901894,-82.94363840557129,DISTURBANCE
632263,42.312144623918,-83.1315398914207,PARKING COMPLAINT
2263643,42.3359923567565,-83.05020475505741,BUS BOARDING
2070693,42.427745436101105,-83.16301147019651,HANGUP CALLS
1619099,42.43489772349721,-83.09922165120629,TRAFFIC STOP
690682,42.3003668801043,-83.1115602131719,TRAFFIC STOP
2293822,42.3349568858112,-83.04942840701179,INVESTIGATE AUTO
593984,42.315819524685004,-83.1165907764091,AUTO X UNK INJ / IMPAIRED
1349660,42.417157193407895,-83.14072484068991,TRAFFIC STOP
1340057,42.4055126216725,-83.12008198909359,THREATS REPORT
1921333,42.4369517559917,-82.98643094720221,FELONIOUS ASSAULT IP
2071178,42.3653733469084,-83.1972902746387,TRAFFIC STOP
729542,42.3765999685118,-83.0850361727987,INVESTIGATE PERSON
884013,42.442685112385796,-82.9657596145949,AUTO X OR PED X - INJURIES
407912,42.4435979644594,-83.24547148427041,AUTO X UNK INJ / IMPAIRED
382012,42.3826749303231,-82.9824143210673,FELONIOUS ASSAULT IP
27946,42.351406603895505,-82.9948853009073,DISTURBANCE
2318291,42.418084689578,-83.23167407304629,TRAFFIC STOP
877382,42.367265614960104,-83.0223621997521,TRAFFIC STOP
1485055,42.35896254550529,-83.1544165138362,SUICIDE I/P
867606,42.4243638295365,-83.2440461876469,TRAFFIC STOP
431235,42.3891257500105,-83.1304534394601,SPECIAL ATTENTION
651305,42.3581374267263,-83.197001254089,TRAFFIC STOP
1055924,42.3471561320455,-83.10983879422758,TRAFFIC STOP
1835748,42.3697104835147,-83.0207411449303,TRAFFIC STOP
138233,42.3702079122221,-82.9569264095244,KIDNAPPING REPORT
410158,42.3696397815024,-83.0110912538624,VICIOUS ANIMAL
2147730,42.371880672813795,-83.2412321353026,ONE DOWN/DRUG OD
1206115,42.3836705547092,-83.1156369895988,UNKNOWN PROBLEM
2124683,42.386087456704104,-83.07275376509041,SPECIAL ATTENTION
1685152,42.3319235938427,-83.1438187548964,AUTO X UNK INJ / IMPAIRED
300547,42.4210589858928,-83.0719256755027,CHILD /  ADULT ABUSE
1994012,42.3145125827316,-83.1256685669277,HANGUP CALLS
1152508,42.339920555973,-83.2060331680088,DISTURBANCE
435378,42.4100847301953,-82.9880584548873,DISTURBANCE
322797,42.4425037953435,-83.083223113991,MT EMS-TRO/ENTRY
1373185,42.3641892103791,-83.0713424164462,AUTO X REPORT
2131519,42.422606380873106,-82.9239040327502,DISTURBANCE
747662,42.4114480418479,-82.915240962683,LARCENY REPORT
2323063,42.37427755134429,-83.1415860208618,TRAFFIC STOP
2385223,42.425232181176,-82.9478082054397,SPECIAL ATTENTION
2198507,42.434178317536706,-83.0143464594462,TRAFFIC STOP
1852878,42.3631350880409,-83.06847941400859,DPDA
1032236,42.3917110798346,-83.2058879130481,INFORMATION/NON-CRIMINAL RPT
171862,42.2597131974625,-83.15889668098829,CHILD / ADULT ABUSE REPORT
1166527,42.3358349274354,-83.0446568458709,TRAFFIC STOP
2132600,42.4174638517624,-83.12312739630642,LARCENY REPORT
1492575,42.3670652705812,-83.1258371692413,TRAFFIC STOP
1447959,42.345655394626604,-83.0607629654656,UNKNOWN PROBLEM
1497088,42.368672940694,-83.13880653803079,SPECIAL ATTENTION
886376,42.418465833273004,-83.0812340586518,DISTURBANCE
2195998,42.3709021498251,-83.13897670600251,BURGLARY BUSINESS J/H
2254052,42.339820179259206,-83.212124341641,DV A/B I/P-J/H
1687611,42.3769614567403,-83.1824992456344,INVESTIGATE AUTO
866506,42.4414465343283,-83.1942287934699,TRAFFIC STOP
1372285,42.4340072080435,-83.2011227863825,PANIC / DURESS ALARM
1616882,42.3311200947336,-83.12034210993241,AID MOTORIST MISC
477082,42.376351885652596,-83.2401501773106,BREAKING AND ENTERING AUTO I/P
549388,42.407639740651,-83.2507150302864,PERSON WITH WEAPON
1026360,42.4120493763046,-83.27730226272841,ASSAULT AND BATTERY
876178,42.3823168594775,-83.1258734218562,TRAFFIC STOP
1820050,42.3901201045541,-83.166691830342,HANGUP CALLS
287925,42.375004366079295,-83.0172385709747,VERIFIED ALR / PERSON W/O CODE
2158711,42.3693485555289,-82.9437669482273,TRAFFIC STOP
822445,42.3003668801043,-83.1115602131719,SPECIAL ATTENTION
1954992,42.432274844547294,-82.9825815910343,PARKING COMPLAINT
713186,42.4424376919452,-83.05378790560721,TRAFFIC STOP
627246,42.4018259470376,-83.1889215093558,BURGLARY OTHER
2055179,42.4376299569948,-83.0867045168686,INVESTIGATE PERSON
652744,42.362256887561294,-83.05101797295299,BUS BOARDING
731393,42.4358806923597,-83.0308180034303,UNKNOWN PROBLEM
2110695,42.359801763133895,-83.0662891147757,TRAFFIC STOP
1827761,42.412152233329394,-83.0701490249192,HANGUP CALLS
756184,42.3442690506806,-83.0793285199839,LARCENY REPORT
704289,42.4308188104363,-83.18738976924371,TRAFFIC STOP
1490751,42.4278296701365,-83.1553990191159,UDAA REPORT
1668890,42.4302754343702,-83.1706657280941,SPECIAL ATTENTION
373818,42.352714905501706,-83.0614671457971,DISTURBANCE
669792,42.40036348862,-83.14467462715209,UDAA REPORT
1855393,42.4451992987574,-83.1810037392733,HANGUP CALLS
261478,42.4086400615707,-82.9669993403849,BURGLARY RESIDENCE REPORT
710020,42.383734818912004,-83.1559516084695,TOWING DETAIL
540818,42.350777356616604,-83.2049700375159,TRAFFIC STOP
1605811,42.3654589063277,-83.08644513883179,TRAFFIC STOP
768625,42.4436307887236,-83.1450922252494,ASSAULT AND BATTERY
166869,42.3003668801043,-83.1115602131719,MALICIOUS DESTRUCTION RPT
1891409,42.356154045093795,-83.1077996998837,TRAFFIC STOP
2205418,42.3448937240491,-83.0629772680331,SPECIAL ATTENTION
1625835,42.402081231131,-83.26059683609091,SHOTS FIRED IP
158360,42.4375362629948,-83.2043863135486,CHILD / ADULT ABUSE REPORT
574317,42.4347386750521,-82.9936386354225,SPECIAL ATTENTION
749535,42.4138058122306,-83.1601892409458,TRAFFIC STOP
1751514,42.3719585508257,-83.23260355993341,SPECIAL ATTENTION
2380306,42.3824636884297,-83.2039564343443,LARCENY REPORT
802348,42.338253461198896,-83.02265102994659,SPECIAL ATTENTION
2306671,42.4213877874802,-83.2556300985012,TOWING DETAIL
1749763,42.4271596486759,-83.23874405837479,TRAFFIC STOP
1917691,42.40067774269271,-83.2374293473293,SPECIAL ATTENTION
410860,42.332153381428704,-83.0472423754567,PROPERTY DAMAGE NON-CRIMINAL
158896,42.3003668801043,-83.1115602131719,TOWING DETAIL
896117,42.331681288580796,-83.052667810135,INVESTIGATE PERSON
828923,42.4148780353342,-82.9776372150821,UDAA REPORT
2308959,42.3114486129753,-83.1272142556802,INVESTIGATE AUTO
598990,42.4098501438015,-83.1468849431222,TRAFFIC STOP
2142874,42.4166475380877,-83.1724620046574,AUTO X HIT& RUN UNK INJURIES
2268324,42.4086631666925,-82.9398287841922,AID MOTORIST MISC
676139,42.4362742557038,-83.18546879848459,DISTURBANCE
774234,42.3728916283594,-83.1853246179455,SPECIAL ATTENTION
647933,42.3785710585586,-83.19822696521041,TRAFFIC STOP
240363,42.4097492268482,-83.15674501528571,DISTURBANCE
2112505,42.43751023241921,-83.09079053761171,SHOTS FIRED IP
2397790,42.33369080860329,-83.14794229221859,HANGUP CALLS
1160628,42.42494115428661,-83.201100547937,UDAA REPORT
1017452,42.358554877319705,-83.1775000125643,UNKNOWN PROBLEM
646319,42.4079157673471,-83.15456579624521,ASSAULT AND BATTERY
1742464,42.42439307187529,-83.277819366776,DISTURBANCE
1011400,42.339706093830294,-83.2206677659574,INVESTIGATE AUTO
806234,42.4419794903821,-83.24421516874601,ASSAULT AND BATTERY
931404,42.398769741883896,-83.1399690148914,ANIMAL COMPLAINT
584368,42.3563560021573,-83.16761965321209,DISTURBANCE
493438,42.296867158346,-83.12786010190621,TRAFFIC STOP
1782397,42.366097424945,-83.06777260464949,DISTURBANCE
2010095,42.3475309702674,-83.0579759031601,AUTO X UNK INJ / IMPAIRED
1920080,42.438933242827204,-83.0162968745839,TRAFFIC STOP
1209452,42.377556985241206,-83.16085541281629,SUICIDE I/P
1462519,42.381086339751796,-83.2685451107637,BURGLARY OCCUPIED RESD I/P
831205,42.3932326389285,-83.02268551544509,TRAFFIC STOP
2253630,42.3504630516914,-83.227164577731,PPO VIOLATION REPORT
384538,42.427453524811,-82.99457721148791,BURGLARY OTHER
763066,42.3467398739437,-83.0666604660704,TRAFFIC STOP
2018043,42.3584622693604,-83.1046360567672,HOLD UP ALARM AND MOW
1371594,42.443666342026795,-82.99889701756258,BURGLARY OCCUPIED RESD I/P
1322965,42.43436259744679,-83.0078449039996,HOLD UP ALARM AND MOW
361735,42.3003668801043,-83.1115602131719,ROBBERY ARMED IP-ANY
1219421,42.4230805215131,-83.20379819168441,MT EMS-TRO/ENTRY
